Long Station Name,Short Station Name,Station Number,Sample Code,Collection Date,Analyte,CAS Reg Number,Result,Rpt Limit,Units,Method,Matrix,Sample Type,Parent Sample,Description,Notes,Date,Depth,Units2,Year
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412120,7/10/1968 11:10,Dissolved ortho-Phosphate,14265442,0.21,0.01,mg/L as P,"Std Method 4500-P, D [1]*","Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,7/10/1968,34,mg/L as P ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412120,7/10/1968 11:10,Total Organic Nitrogen,7727379,0.4,0.1,mg/L as N,EPA 351.3 [P/A]*,"Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,7/10/1968,34,mg/L as N ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412120,7/10/1968 11:10,Total Phosphorus,7723140,0.5,0.01,mg/L as P,UnkH Phosphorus [UnkH]*,"Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,7/10/1968,34,mg/L as P ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412120,7/10/1968 11:10,Dissolved Ammonia,7664417,0.75,0.01,mg/L as N,EPA 350.2 [1]*,"Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,7/10/1968,34,mg/L as N ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412119,7/10/1968 11:00,Total Organic Nitrogen,7727379,1.8,0.1,mg/L as N,EPA 351.3 [P/A]*,"Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,7/10/1968,0,mg/L as N ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412121,7/24/1968 13:10,Dissolved Nitrate,14797558,0.03,0.01,mg/L as N,"Environ. Sci. and Tech, 6/67 [P/A]*","Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,7/24/1968,0,mg/L as N ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412121,7/24/1968 13:10,Dissolved ortho-Phosphate,14265442,0.05,0.01,mg/L as P,"Std Method 4500-P, D [1]*","Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,7/24/1968,0,mg/L as P ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412121,7/24/1968 13:10,Total Phosphorus,7723140,0.12,0.01,mg/L as P,UnkH Phosphorus [UnkH]*,"Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,7/24/1968,0,mg/L as P ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412121,7/24/1968 13:10,Dissolved Ammonia,7664417,0.19,0.01,mg/L as N,EPA 350.2 [1]*,"Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,7/24/1968,0,mg/L as N ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412121,7/24/1968 13:10,Total Organic Nitrogen,7727379,0.9,0.1,mg/L as N,EPA 351.3 [P/A]*,"Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,7/24/1968,0,mg/L as N ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412122,8/7/1968 11:15,Dissolved Nitrate,14797558,0.02,0.01,mg/L as N,"Environ. Sci. and Tech, 6/67 [P/A]*","Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,8/7/1968,0,mg/L as N ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412122,8/7/1968 11:15,Dissolved Ammonia,7664417,0.03,0.01,mg/L as N,EPA 350.2 [1]*,"Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,8/7/1968,0,mg/L as N ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412122,8/7/1968 11:15,Dissolved ortho-Phosphate,14265442,0.03,0.01,mg/L as P,"Std Method 4500-P, D [1]*","Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,8/7/1968,0,mg/L as P ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412123,8/7/1968 11:25,Dissolved Nitrate,14797558,0.04,0.01,mg/L as N,"Environ. Sci. and Tech, 6/67 [P/A]*","Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,8/7/1968,34,mg/L as N ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412123,8/7/1968 11:25,Dissolved ortho-Phosphate,14265442,0.08,0.01,mg/L as P,"Std Method 4500-P, D [1]*","Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,8/7/1968,34,mg/L as P ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412122,8/7/1968 11:15,Total Phosphorus,7723140,0.1,0.01,mg/L as P,UnkH Phosphorus [UnkH]*,"Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,8/7/1968,0,mg/L as P ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412123,8/7/1968 11:25,Total Phosphorus,7723140,0.18,0.01,mg/L as P,UnkH Phosphorus [UnkH]*,"Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,8/7/1968,34,mg/L as P ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412123,8/7/1968 11:25,Dissolved Ammonia,7664417,0.42,0.01,mg/L as N,EPA 350.2 [1]*,"Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,8/7/1968,34,mg/L as N ,1968
CLEAR LK LO ARM CL3 ,CLEAR LK LO ARM CL3 ,A8L85792406,WDIS_0412123,8/7/1968 11:25,Total Organic Nitrogen,7727379,0.7,0.1,mg/L as N,EPA 351.3 [P/A]*,"Water, Natural",Normal Sample,0,Historic WDIS Database - Agency: DWR - Lab: DWR,,8/7/1968,34,mg/L as N ,1968
