Long Station Name,Short Station Name,Station Number,Sample Code,Collection Date,Analyte,CAS Reg Number,Result,Rpt Limit,Units,Method,Matrix,Sample Type,Parent Sample,Description,Notes,Date,Year,Depth,Units2
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0405B2668,4/13/2005 8:30,Total Calcium,7440702,21,1,mg/L,EPA 200.7 (T) [1]*,"Water, Natural",Normal Sample,0,,,4/13/2005,2005,12,mg/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0405B2667,4/13/2005 8:30,Total Calcium,7440702,22,1,mg/L,EPA 200.7 (T) [1]*,"Water, Natural",Normal Sample,0,,,4/13/2005,2005,0.5,mg/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0405B2668,4/13/2005 8:30,Dissolved Calcium,7440702,23,1,mg/L,EPA 200.7 (D) [1]*,"Water, Natural",Normal Sample,0,,,4/13/2005,2005,12,mg/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0405B2667,4/13/2005 8:30,Dissolved Hardness,0,114,1,mg/L as CaCO3,Std Method 2340 B (D) [1]*,"Water, Natural",Normal Sample,0,,,4/13/2005,2005,0.5,mg/L as CaCO3 
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0405B2668,4/13/2005 8:30,Total Hardness,0,114,1,mg/L as CaCO3,Std Method 2340 B (T) [1]*,"Water, Natural",Normal Sample,0,,,4/13/2005,2005,12,mg/L as CaCO3 
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0405B2667,4/13/2005 8:30,Total Hardness,0,117,1,mg/L as CaCO3,Std Method 2340 B (T) [1]*,"Water, Natural",Normal Sample,0,,,4/13/2005,2005,0.5,mg/L as CaCO3 
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0405B2668,4/13/2005 8:30,Dissolved Hardness,0,119,1,mg/L as CaCO3,Std Method 2340 B (D) [1]*,"Water, Natural",Normal Sample,0,,,4/13/2005,2005,12,mg/L as CaCO3 
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0405B2667,4/13/2005 8:30,Total Alkalinity,471341,122,1,mg/L as CaCO3,Std Method 2320 B (Filtered) [1]*,"Water, Natural",Normal Sample,0,,,4/13/2005,2005,0.5,mg/L as CaCO3 
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0405B2668,4/13/2005 8:30,Total Alkalinity,471341,123,1,mg/L as CaCO3,Std Method 2320 B (Filtered) [1]*,"Water, Natural",Normal Sample,0,,,4/13/2005,2005,12,mg/L as CaCO3 
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0405B2667,4/13/2005 8:30,Total Dissolved Solids,0,149,1,mg/L,Std Method 2540 C [1]*,"Water, Natural",Normal Sample,0,,,4/13/2005,2005,0.5,mg/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0405B2668,4/13/2005 8:30,Total Dissolved Solids,0,152,1,mg/L,Std Method 2540 C [1]*,"Water, Natural",Normal Sample,0,,,4/13/2005,2005,12,mg/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2558,5/11/2005 7:20,Dissolved Ammonia,7664417,0.01,0.01,mg/L as N,EPA 350.1 DWR Modified [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,12,mg/L as N 
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2557,5/11/2005 7:20,Dissolved Ammonia,7664417,0.01,0.01,mg/L as N,EPA 350.1 DWR Modified [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,0.5,mg/L as N 
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2558,5/11/2005 7:20,Dissolved Nitrate + Nitrite,0,0.01,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Mod [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,12,mg/L as N 
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2557,5/11/2005 7:20,Dissolved Nitrate + Nitrite,0,0.01,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Mod [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,0.5,mg/L as N 
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2557,5/11/2005 7:20,Dissolved Silver,7440224,0.01,0.009,ug/L,EPA 1638 (D) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,0.5,ug/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0505B2558,5/11/2005 7:20,Dissolved Silver,7440224,0.01,0.009,ug/L,EPA 1638 (D) [1]*,"Water, Natural",Normal Sample,0,,,5/11/2005,2005,12,ug/L   
